,game_id,team_abbrev,opponent_abbrev,team_score,opponent_score,win
0,202201010BRK,LAC,BRK,120,116,True
1,202201010BRK,BRK,LAC,116,120,False
2,202201010DET,SAS,DET,116,117,False
3,202201010DET,DET,SAS,117,116,True
4,202201010HOU,HOU,DEN,111,124,False
5,202201010HOU,DEN,HOU,124,111,True
6,202201010MIL,MIL,NOP,136,113,True
7,202201010MIL,NOP,MIL,113,136,False
8,202201010UTA,GSW,UTA,123,116,True
9,202201010UTA,UTA,GSW,116,123,False
10,202201010WAS,CHI,WAS,120,119,True
11,202201010WAS,WAS,CHI,119,120,False
12,202201020BOS,BOS,ORL,116,111,True
13,202201020BOS,ORL,BOS,111,116,False
14,202201020CHO,CHO,PHO,99,133,False
15,202201020CHO,PHO,CHO,133,99,True
16,202201020CLE,CLE,IND,108,104,True
17,202201020CLE,IND,CLE,104,108,False
18,202201020LAL,LAL,MIN,108,103,True
19,202201020LAL,MIN,LAL,103,108,False
20,202201020OKC,DAL,OKC,95,86,True
21,202201020OKC,OKC,DAL,86,95,False
22,202201020SAC,SAC,MIA,115,113,True
23,202201020SAC,MIA,SAC,113,115,False
24,202201020TOR,TOR,NYK,120,105,True
25,202201020TOR,NYK,TOR,105,120,False
26,202201030BRK,BRK,MEM,104,118,False
27,202201030BRK,MEM,BRK,118,104,True
28,202201030CHI,CHI,ORL,102,98,True
29,202201030CHI,ORL,CHI,98,102,False
30,202201030DAL,DAL,DEN,103,89,True
31,202201030DAL,DEN,DAL,89,103,False
32,202201030GSW,GSW,MIA,115,108,True
33,202201030GSW,MIA,GSW,108,115,False
34,202201030LAC,MIN,LAC,122,104,True
35,202201030LAC,LAC,MIN,104,122,False
36,202201030MIL,DET,MIL,115,106,True
37,202201030MIL,MIL,DET,106,115,False
38,202201030NOP,UTA,NOP,115,104,True
39,202201030NOP,NOP,UTA,104,115,False
40,202201030PHI,PHI,HOU,133,113,True
41,202201030PHI,HOU,PHI,113,133,False
42,202201030POR,ATL,POR,131,136,False
43,202201030POR,POR,ATL,136,131,True
44,202201030WAS,WAS,CHO,124,121,True
