,game_id,team_abbrev,opponent_abbrev,team_score,opponent_score,win
0,202101010BRK,BRK,ATL,96,114,False
1,202101010BRK,ATL,BRK,114,96,True
2,202101010CHO,MEM,CHO,108,93,True
3,202101010CHO,CHO,MEM,93,108,False
4,202101010DAL,DAL,MIA,93,83,True
5,202101010DAL,MIA,DAL,83,93,False
6,202101010DEN,PHO,DEN,106,103,True
7,202101010DEN,DEN,PHO,103,106,False
8,202101010DET,DET,BOS,96,93,True
9,202101010DET,BOS,DET,93,96,False
10,202101010GSW,POR,GSW,123,98,True
11,202101010GSW,GSW,POR,98,123,False
12,202101010MIL,CHI,MIL,96,126,False
13,202101010MIL,MIL,CHI,126,96,True
14,202101010MIN,MIN,WAS,109,130,False
15,202101010MIN,WAS,MIN,130,109,True
16,202101010SAS,SAS,LAL,103,109,False
17,202101010SAS,LAL,SAS,109,103,True
18,202101010UTA,LAC,UTA,100,106,False
19,202101010UTA,UTA,LAC,106,100,True
20,202101020ATL,CLE,ATL,96,91,True
21,202101020ATL,ATL,CLE,91,96,False
22,202101020HOU,HOU,SAC,102,94,True
23,202101020HOU,SAC,HOU,94,102,False
24,202101020IND,IND,NYK,102,106,False
25,202101020IND,NYK,IND,106,102,True
26,202101020NOP,TOR,NOP,116,120,False
27,202101020NOP,NOP,TOR,120,116,True
28,202101020ORL,ORL,OKC,99,108,False
29,202101020ORL,OKC,ORL,108,99,True
30,202101020PHI,PHI,CHO,127,112,True
31,202101020PHI,CHO,PHI,112,127,False
32,202101030BRK,BRK,WAS,122,123,False
33,202101030BRK,WAS,BRK,123,122,True
34,202101030CHI,DAL,CHI,108,118,False
35,202101030CHI,CHI,DAL,118,108,True
36,202101030DET,BOS,DET,122,120,True
37,202101030DET,DET,BOS,120,122,False
38,202101030GSW,POR,GSW,122,137,False
39,202101030GSW,GSW,POR,137,122,True
40,202101030MEM,LAL,MEM,108,94,True
41,202101030MEM,MEM,LAL,94,108,False
42,202101030MIN,MIN,DEN,109,124,False
43,202101030MIN,DEN,MIN,124,109,True
44,202101030PHO,LAC,PHO,112,107,True
45,202101030PHO,PHO,LAC,107,112,False
46,202101030SAS,SAS,UTA,109,130,False
47,202101030SAS,UTA,SAS,130,109,True
48,202101040ATL,NYK,ATL,113,108,True
49,202101040ATL,ATL,NYK,108,113,False
50,202101040GSW,GSW,SAC,137,106,True
51,202101040GSW,SAC,GSW,106,137,False
52,202101040HOU,HOU,DAL,100,113,False
53,202101040HOU,DAL,HOU,113,100,True
54,202101040MIA,MIA,OKC,118,90,True
55,202101040MIA,OKC,MIA,90,118,False
56,202101040MIL,MIL,DET,125,115,True
57,202101040MIL,DET,MIL,115,125,False
58,202101040NOP,NOP,IND,116,118,False
59,202101040NOP,IND,NOP,118,116,True
60,202101040ORL,ORL,CLE,103,83,True
61,202101040ORL,CLE,ORL,83,103,False
62,202101040PHI,CHO,PHI,101,118,False
63,202101040PHI,PHI,CHO,118,101,True
64,202101040TOR,TOR,BOS,114,126,False
65,202101040TOR,BOS,TOR,126,114,True
66,202101050BRK,UTA,BRK,96,130,False
67,202101050BRK,BRK,UTA,130,96,True
68,202101050DEN,DEN,MIN,123,116,True
69,202101050DEN,MIN,DEN,116,123,False
70,202101050LAC,SAS,LAC,116,113,True
71,202101050LAC,LAC,SAS,113,116,False
72,202101050MEM,LAL,MEM,94,92,True
73,202101050MEM,MEM,LAL,92,94,False
74,202101050POR,CHI,POR,111,108,True
75,202101050POR,POR,CHI,108,111,False
76,202101060ATL,ATL,CHO,94,102,False
77,202101060ATL,CHO,ATL,102,94,True
78,202101060GSW,GSW,LAC,101,108,False
79,202101060GSW,LAC,GSW,108,101,True
80,202101060IND,HOU,IND,107,114,False
81,202101060IND,IND,HOU,114,107,True
82,202101060MIA,BOS,MIA,107,105,True
83,202101060MIA,MIA,BOS,105,107,False
84,202101060MIL,MIL,DET,130,115,True
85,202101060MIL,DET,MIL,115,130,False
86,202101060NOP,NOP,OKC,110,111,False
87,202101060NOP,OKC,NOP,111,110,True
88,202101060NYK,NYK,UTA,112,100,True
89,202101060NYK,UTA,NYK,100,112,False
90,202101060ORL,ORL,CLE,105,94,True
91,202101060ORL,CLE,ORL,94,105,False
92,202101060PHI,WAS,PHI,136,141,False
93,202101060PHI,PHI,WAS,141,136,True
94,202101060PHO,PHO,TOR,123,115,True
95,202101060PHO,TOR,PHO,115,123,False
96,202101060SAC,CHI,SAC,124,128,False
97,202101060SAC,SAC,CHI,128,124,True
98,202101070BRK,PHI,BRK,109,122,False
99,202101070BRK,BRK,PHI,122,109,True
100,202101070DEN,DEN,DAL,117,124,False
101,202101070DEN,DAL,DEN,124,117,True
102,202101070LAL,SAS,LAL,118,109,True
103,202101070LAL,LAL,SAS,109,118,False
104,202101070MEM,CLE,MEM,94,90,True
105,202101070MEM,MEM,CLE,90,94,False
106,202101070POR,POR,MIN,135,117,True
107,202101070POR,MIN,POR,117,135,False
108,202101080BOS,WAS,BOS,107,116,False
109,202101080BOS,BOS,WAS,116,107,True
110,202101080DET,PHO,DET,105,110,False
111,202101080DET,DET,PHO,110,105,True
112,202101080GSW,LAC,GSW,105,115,False
113,202101080GSW,GSW,LAC,115,105,True
114,202101080HOU,HOU,ORL,132,90,True
115,202101080HOU,ORL,HOU,90,132,False
116,202101080LAL,CHI,LAL,115,117,False
117,202101080LAL,LAL,CHI,117,115,True
118,202101080MEM,BRK,MEM,110,115,False
119,202101080MEM,MEM,BRK,115,110,True
120,202101080MIL,UTA,MIL,131,118,True
121,202101080MIL,MIL,UTA,118,131,False
122,202101080NOP,CHO,NOP,118,110,True
123,202101080NOP,NOP,CHO,110,118,False
124,202101080NYK,OKC,NYK,101,89,True
125,202101080NYK,NYK,OKC,89,101,False
126,202101080SAC,TOR,SAC,144,123,True
127,202101080SAC,SAC,TOR,123,144,False
128,202101090CHO,CHO,ATL,113,105,True
129,202101090CHO,ATL,CHO,105,113,False
130,202101090DAL,DAL,ORL,112,98,True
131,202101090DAL,ORL,DAL,98,112,False
132,202101090IND,IND,PHO,117,125,False
133,202101090IND,PHO,IND,125,117,True
134,202101090MIL,CLE,MIL,90,100,False
135,202101090MIL,MIL,CLE,100,90,True
136,202101090MIN,MIN,SAS,122,125,False
137,202101090MIN,SAS,MIN,125,122,True
138,202101090PHI,PHI,DEN,103,115,False
139,202101090PHI,DEN,PHI,115,103,True
140,202101090SAC,POR,SAC,125,99,True
141,202101090SAC,SAC,POR,99,125,False
142,202101090WAS,WAS,MIA,124,128,False
143,202101090WAS,MIA,WAS,128,124,True
144,202101100BRK,OKC,BRK,129,116,True
145,202101100BRK,BRK,OKC,116,129,False
146,202101100DET,DET,UTA,86,96,False
147,202101100DET,UTA,DET,96,86,True
148,202101100GSW,GSW,TOR,106,105,True
149,202101100GSW,TOR,GSW,105,106,False
150,202101100HOU,HOU,LAL,102,120,False
151,202101100HOU,LAL,HOU,120,102,True
152,202101100LAC,CHI,LAC,127,130,False
153,202101100LAC,LAC,CHI,130,127,True
154,202101100MIN,MIN,SAS,96,88,True
155,202101100MIN,SAS,MIN,88,96,False
156,202101100NYK,DEN,NYK,114,89,True
157,202101100NYK,NYK,DEN,89,114,False
158,202101110ATL,ATL,PHI,112,94,True
159,202101110ATL,PHI,ATL,94,112,False
160,202101110CHO,CHO,NYK,109,88,True
161,202101110CHO,NYK,CHO,88,109,False
162,202101110CLE,CLE,MEM,91,101,False
163,202101110CLE,MEM,CLE,101,91,True
164,202101110ORL,MIL,ORL,121,99,True
165,202101110ORL,ORL,MIL,99,121,False
166,202101110POR,TOR,POR,111,112,False
167,202101110POR,POR,TOR,112,111,True
168,202101110SAC,SAC,IND,127,122,True
169,202101110SAC,IND,SAC,122,127,False
170,202101110WAS,WAS,PHO,128,107,True
171,202101110WAS,PHO,WAS,107,128,False
172,202101120BRK,DEN,BRK,116,122,False
173,202101120BRK,BRK,DEN,122,116,True
174,202101120CLE,CLE,UTA,87,117,False
175,202101120CLE,UTA,CLE,117,87,True
176,202101120GSW,IND,GSW,104,95,True
177,202101120GSW,GSW,IND,95,104,False
178,202101120HOU,HOU,LAL,100,117,False
179,202101120HOU,LAL,HOU,117,100,True
180,202101120OKC,SAS,OKC,112,102,True
181,202101120OKC,OKC,SAS,102,112,False
182,202101120PHI,PHI,MIA,137,134,True
183,202101120PHI,MIA,PHI,134,137,False
184,202101130CHO,DAL,CHO,104,93,True
185,202101130CHO,CHO,DAL,93,104,False
186,202101130DET,DET,MIL,101,110,False
187,202101130DET,MIL,DET,110,101,True
188,202101130LAC,NOP,LAC,106,111,False
189,202101130LAC,LAC,NOP,111,106,True
190,202101130MIN,MIN,MEM,107,118,False
191,202101130MIN,MEM,MIN,118,107,True
192,202101130NYK,NYK,BRK,109,116,False
193,202101130NYK,BRK,NYK,116,109,True
194,202101130OKC,OKC,LAL,99,128,False
195,202101130OKC,LAL,OKC,128,99,True
196,202101130SAC,POR,SAC,132,126,True
197,202101130SAC,SAC,POR,126,132,False
198,202101140DEN,GSW,DEN,104,114,False
199,202101140DEN,DEN,GSW,114,104,True
200,202101140PHI,MIA,PHI,108,125,False
201,202101140PHI,PHI,MIA,125,108,True
202,202101140POR,POR,IND,87,111,False
203,202101140POR,IND,POR,111,87,True
204,202101140SAS,HOU,SAS,109,105,True
205,202101140SAS,SAS,HOU,105,109,False
206,202101140TOR,CHO,TOR,108,111,False
207,202101140TOR,TOR,CHO,111,108,True
208,202101150BOS,ORL,BOS,97,124,False
209,202101150BOS,BOS,ORL,124,97,True
210,202101150CLE,NYK,CLE,103,106,False
211,202101150CLE,CLE,NYK,106,103,True
212,202101150LAL,LAL,NOP,112,95,True
213,202101150LAL,NOP,LAL,95,112,False
214,202101150MIL,MIL,DAL,112,109,True
215,202101150MIL,DAL,MIL,109,112,False
216,202101150OKC,CHI,OKC,125,127,False
217,202101150OKC,OKC,CHI,127,125,True
218,202101150SAC,SAC,LAC,100,138,False
219,202101150SAC,LAC,SAC,138,100,True
220,202101150UTA,UTA,ATL,116,92,True
221,202101150UTA,ATL,UTA,92,116,False
222,202101160BRK,BRK,ORL,122,115,True
223,202101160BRK,ORL,BRK,115,122,False
224,202101160MEM,PHI,MEM,104,106,False
225,202101160MEM,MEM,PHI,106,104,True
226,202101160MIA,DET,MIA,120,100,True
227,202101160MIA,MIA,DET,100,120,False
228,202101160POR,POR,ATL,112,106,True
229,202101160POR,ATL,POR,106,112,False
230,202101160SAS,HOU,SAS,91,103,False
231,202101160SAS,SAS,HOU,103,91,True
232,202101160TOR,TOR,CHO,116,113,True
233,202101160TOR,CHO,TOR,113,116,False
234,202101170BOS,NYK,BOS,105,75,True
235,202101170BOS,BOS,NYK,75,105,False
236,202101170DAL,CHI,DAL,117,101,True
237,202101170DAL,DAL,CHI,101,117,False
238,202101170DEN,UTA,DEN,109,105,True
239,202101170DEN,DEN,UTA,105,109,False
240,202101170LAC,LAC,IND,129,96,True
241,202101170LAC,IND,LAC,96,129,False
242,202101170SAC,SAC,NOP,123,128,False
243,202101170SAC,NOP,SAC,128,123,True
244,202101180ATL,ATL,MIN,108,97,True
245,202101180ATL,MIN,ATL,97,108,False
246,202101180BRK,MIL,BRK,123,125,False
247,202101180BRK,BRK,MIL,125,123,True
248,202101180CHI,CHI,HOU,125,120,True
249,202101180CHI,HOU,CHI,120,125,False
250,202101180LAL,GSW,LAL,115,113,True
251,202101180LAL,LAL,GSW,113,115,False
252,202101180MEM,PHO,MEM,104,108,False
253,202101180MEM,MEM,PHO,108,104,True
254,202101180MIA,DET,MIA,107,113,False
255,202101180MIA,MIA,DET,113,107,True
256,202101180NYK,NYK,ORL,91,84,True
257,202101180NYK,ORL,NYK,84,91,False
258,202101180POR,POR,SAS,104,125,False
259,202101180POR,SAS,POR,125,104,True
260,202101180TOR,TOR,DAL,116,93,True
261,202101180TOR,DAL,TOR,93,116,False
262,202101190DEN,OKC,DEN,101,119,False
263,202101190DEN,DEN,OKC,119,101,True
264,202101190UTA,UTA,NOP,118,102,True
265,202101190UTA,NOP,UTA,102,118,False
266,202101200ATL,ATL,DET,123,115,True
267,202101200ATL,DET,ATL,115,123,False
268,202101200CLE,BRK,CLE,135,147,False
269,202101200CLE,CLE,BRK,147,135,True
270,202101200GSW,GSW,SAS,121,99,True
271,202101200GSW,SAS,GSW,99,121,False
272,202101200HOU,HOU,PHO,103,109,False
273,202101200HOU,PHO,HOU,109,103,True
274,202101200IND,DAL,IND,124,112,True
275,202101200IND,IND,DAL,112,124,False
276,202101200LAC,LAC,SAC,115,96,True
277,202101200LAC,SAC,LAC,96,115,False
278,202101200MIN,ORL,MIN,97,96,True
279,202101200MIN,MIN,ORL,96,97,False
280,202101200PHI,BOS,PHI,109,117,False
281,202101200PHI,PHI,BOS,117,109,True
282,202101200TOR,MIA,TOR,111,102,True
283,202101200TOR,TOR,MIA,102,111,False
284,202101210GSW,GSW,NYK,104,119,False
285,202101210GSW,NYK,GSW,119,104,True
286,202101210MIL,MIL,LAL,106,113,False
287,202101210MIL,LAL,MIL,113,106,True
288,202101210UTA,NOP,UTA,118,129,False
289,202101210UTA,UTA,NOP,129,118,True
290,202101220CHO,CHI,CHO,123,110,True
291,202101220CHO,CHO,CHI,110,123,False
292,202101220CLE,CLE,BRK,125,113,True
293,202101220CLE,BRK,CLE,113,125,False
294,202101220DET,HOU,DET,103,102,True
295,202101220DET,DET,HOU,102,103,False
296,202101220IND,ORL,IND,118,120,False
297,202101220IND,IND,ORL,120,118,True
298,202101220LAC,OKC,LAC,106,120,False
299,202101220LAC,LAC,OKC,120,106,True
300,202101220MIN,ATL,MIN,116,98,True
301,202101220MIN,MIN,ATL,98,116,False
302,202101220PHI,BOS,PHI,110,122,False
303,202101220PHI,PHI,BOS,122,110,True
304,202101220PHO,PHO,DEN,126,130,False
305,202101220PHO,DEN,PHO,130,126,True
306,202101220SAC,SAC,NYK,103,94,True
307,202101220SAC,NYK,SAC,94,103,False
308,202101220SAS,DAL,SAS,122,117,True
309,202101220SAS,SAS,DAL,117,122,False
310,202101220TOR,MIA,TOR,81,101,False
311,202101220TOR,TOR,MIA,101,81,True
312,202101230BRK,BRK,MIA,128,124,True
313,202101230BRK,MIA,BRK,124,128,False
314,202101230CHI,LAL,CHI,101,90,True
315,202101230CHI,CHI,LAL,90,101,False
