,player_id,player
0,halibty01,Tyrese Haliburton
1,hieldbu01,Buddy Hield
2,brissos01,Oshae Brissett
3,jacksis01,Isaiah Jackson
4,mccontj01,T.J. McConnell
5,taylote01,Terry Taylor
6,washidu02,Duane Washington Jr.
7,stephla01,Lance Stephenson
8,yorkga01,Gabe York
9,bitadgo01,Goga Bitadze
10,brogdma01,Malcolm Brogdon
11,smithja04,Jalen Smith
12,duranke01,Kevin Durant
13,irvinky01,Kyrie Irving
14,edwarke02,Kessler Edwards
15,brownbr01,Bruce Brown
16,drumman01,Andre Drummond
17,millspa02,Patty Mills
18,claxtni01,Nic Claxton
19,thomaca02,Cam Thomas
20,griffbl01,Blake Griffin
21,curryse01,Seth Curry
22,dukeda01,David Duke Jr.
23,sharpda01,Day'Ron Sharpe
24,aldrila01,LaMarcus Aldridge
25,hachiru01,Rui Hachimura
26,avdijde01,Deni Avdija
27,gaffoda01,Daniel Gafford
28,kispeco01,Corey Kispert
29,satorto01,Tomas Satoransky
30,netora01,Raul Neto
31,gillan01,Anthony Gill
32,careyve01,Vernon Carey Jr.
33,smithis01,Ish Smith
34,toddis01,Isaiah Todd
35,schakjo01,Jordan Schakel
36,winstca01,Cassius Winston
37,roziete01,Terry Rozier
38,ballla01,LaMelo Ball
39,bridgmi02,Miles Bridges
40,washipj01,P.J. Washington
41,plumlma01,Mason Plumlee
42,martico01,Cody Martin
43,harremo01,Montrezl Harrell
44,mcdanja01,Jalen McDaniels
45,oubreke01,Kelly Oubre Jr.
46,thomais02,Isaiah Thomas
47,bouknja01,James Bouknight
48,joneska01,Kai Jones
49,kulboar01,Arnoldas Kulboka
50,thorjt01,JT Thor
51,richani01,Nick Richards
52,nworajo01,Jordan Nwora
53,mamuksa01,Sandro Mamukelashvili
54,antetth01,Thanasis Antetokounmpo
55,carteje01,Jevon Carter
56,holidjr01,Jrue Holiday
57,wiggili01,Lindell Wigginton
58,tuckera01,Rayjon Tucker
59,portibo01,Bobby Portis
60,matthwe02,Wesley Matthews
61,connapa01,Pat Connaughton
62,middlkh01,Khris Middleton
63,leverca01,Caris LeVert
64,garlada01,Darius Garland
65,mobleev01,Evan Mobley
66,markkla01,Lauri Markkanen
67,okorois01,Isaac Okoro
68,osmande01,Cedi Osman
69,rondora01,Rajon Rondo
70,stevela01,Lamar Stevens
71,windldy01,Dylan Windler
72,loveke01,Kevin Love
73,brownmo01,Moses Brown
74,goodwbr01,Brandon Goodwin
75,nembhrj01,RJ Nembhard Jr.
76,davised01,Ed Davis
77,johnske04,Keldon Johnson
78,murrade01,Dejounte Murray
79,vassede01,Devin Vassell
80,poeltja01,Jakob Poeltl
81,primojo01,Joshua Primo
82,richajo01,Josh Richardson
83,jonestr01,Tre Jones
84,colliza01,Zach Collins
85,bateske01,Keita Bates-Diop
86,wieskjo01,Joe Wieskamp
87,landajo01,Jock Landale
88,cacokde01,Devontae Cacok
89,langfro01,Romeo Langford
90,doncilu01,Luka Doncic
91,finnedo01,Dorian Finney-Smith
92,bullore01,Reggie Bullock
93,poweldw01,Dwight Powell
94,brunsja01,Jalen Brunson
95,chrisma01,Marquese Chriss
96,dinwisp01,Spencer Dinwiddie
97,greenjo02,Josh Green
98,pinsoth01,Theo Pinson
99,bertada01,Davis Bertans
100,burketr01,Trey Burke
101,marjabo01,Boban Marjanovic
102,wrighmo01,Moses Wright
103,johnsst04,Stanley Johnson
104,reaveau01,Austin Reaves
105,gabriwe01,Wenyen Gabriel
106,monkma01,Malik Monk
107,hortota01,Talen Horton-Tucker
108,ellinwa01,Wayne Ellington
109,jonesma05,Mason Jones
110,mccluma01,Mac McClung
111,augusdj01,D.J. Augustin
112,bradlav01,Avery Bradley
113,howardw01,Dwight Howard
114,bazemke01,Kent Bazemore
115,forbebr01,Bryn Forbes
116,hylanbo01,Bones Hyland
117,greenje02,Jeff Green
118,couside01,DeMarcus Cousins
119,riverau01,Austin Rivers
120,reedda01,Davon Reed
121,nnajize01,Zeke Nnaji
122,howarma02,Markus Howard
123,cancavl01,Vlatko Cancar
124,greenja01,JaMychal Green
125,campafa01,Facundo Campazzo
126,youngtr01,Trae Young
127,huntede01,De'Andre Hunter
128,gallida01,Danilo Gallinari
129,huertke01,Kevin Huerter
130,capelca01,Clint Capela
131,bogdabo01,Bogdan Bogdanovic
132,okongon01,Onyeka Okongwu
133,wrighde01,Delon Wright
134,luwawti01,Timothe Luwawu-Cabarrot
135,knoxke01,Kevin Knox
136,johnsja05,Jalen Johnson
137,mayssk01,Skylar Mays
138,coopesh01,Sharife Cooper
139,dienggo01,Gorgui Dieng
140,porteke02,Kevin Porter Jr.
141,greenja05,Jalen Green
142,sengual01,Alperen Sengun
143,mathega01,Garrison Mathews
144,tateja01,Jae'Sean Tate
145,chrisjo01,Josh Christopher
146,martike04,Kenyon Martin Jr.
147,garubus01,Usman Garuba
148,nwabada01,David Nwaba
149,gordoer01,Eric Gordon
150,fernabr01,Bruno Fernando
151,kalaige01,Georgios Kalaitzakis
152,simpsza01,Zavier Simpson
153,hoardja01,Jaylen Hoard
154,krejcvi01,Vit Krejci
155,robyis01,Isaiah Roby
156,frazime01,Melvin Frazier
157,pokusal01,Aleksej Pokusevski
158,wiggiaa01,Aaron Wiggins
159,robinje02,Jeremiah Robinson-Earl
160,waterli01,Lindy Waters III
161,maledth01,Theo Maledon
162,coffeam01,Amir Coffey
163,kennalu01,Luke Kennard
164,mannte01,Terance Mann
165,zubaciv01,Ivica Zubac
166,covinro01,Robert Covington
167,bostobr01,Brandon Boston Jr.
168,moonxa01,Xavier Moon
169,harteis01,Isaiah Hartenstein
170,hoodro01,Rodney Hood
171,batumni01,Nicolas Batum
172,powelno01,Norman Powell
173,tatumja01,Jayson Tatum
174,theisda01,Daniel Theis
175,smartma01,Marcus Smart
176,horfoal01,Al Horford
177,brownja02,Jaylen Brown
178,willigr01,Grant Williams
179,whitede01,Derrick White
180,nesmiaa01,Aaron Nesmith
181,pritcpa01,Payton Pritchard
182,kornelu01,Luke Kornet
183,hausesa01,Sam Hauser
184,fittsma01,Malik Fitts
185,thomabr01,Brodric Thomas
186,ryanma01,Matt Ryan
187,konchjo01,John Konchar
188,tillmxa01,Xavier Tillman Sr.
189,willizi02,Ziaire Williams
190,anderky01,Kyle Anderson
191,meltode01,De'Anthony Melton
192,culveja01,Jarrett Culver
193,aldamsa01,Santi Aldama
194,ponsyv01,Yves Pons
195,banede01,Desmond Bane
196,jonesty01,Tyus Jones
197,clarkbr01,Brandon Clarke
198,dosunay01,Ayo Dosunmu
199,willipa01,Patrick Williams
200,greenja02,Javonte Green
201,browntr01,Troy Brown Jr.
202,thomptr01,Tristan Thompson
203,jonesde02,Derrick Jones Jr.
204,bradlto01,Tony Bradley
205,hillma01,Malcolm Hill
206,cookty01,Tyler Cook
207,simonma01,Marko Simonovic
208,whiteco01,Coby White
209,reidna01,Naz Reid
210,edwaran01,Anthony Edwards
211,beaslma01,Malik Beasley
212,beverpa01,Patrick Beverley
213,vandeja01,Jarred Vanderbilt
214,okogijo01,Josh Okogie
215,nowelja01,Jaylen Nowell
216,mclaujo01,Jordan McLaughlin
217,monrogr01,Greg Monroe
218,bolmale01,Leandro Bolmaro
219,mcdanja02,Jaden McDaniels
220,laymaja01,Jake Layman
221,knighna01,Nathan Knight
222,wrighmc01,McKinley Wright IV
223,princta02,Taurean Prince
224,thompkl01,Klay Thompson
225,poolejo01,Jordan Poole
226,greendr01,Draymond Green
227,moodymo01,Moses Moody
228,looneke01,Kevon Looney
229,kuminjo01,Jonathan Kuminga
230,toscaju01,Juan Toscano-Anderson
231,leeda03,Damion Lee
232,bjeline01,Nemanja Bjelica
233,paytoga02,Gary Payton II
234,weathqu01,Quinndary Weatherspoon
235,marshna01,Naji Marshall
236,murphtr02,Trey Murphy III
237,hernawi01,Willy Hernangomez
238,hayesja02,Jaxson Hayes
239,mccolcj01,CJ McCollum
240,clarkga01,Gary Clark
241,snellto01,Tony Snell
242,templga01,Garrett Temple
243,alvarjo01,Jose Alvarado
244,harpeja01,Jared Harper
245,nancela02,Larry Nance Jr.
246,trentga02,Gary Trent Jr.
247,anunoog01,OG Anunoby
248,barnesc01,Scottie Barnes
249,birchkh01,Khem Birch
250,brookar01,Armoni Brooks
251,bouchch01,Chris Boucher
252,flynnma01,Malachi Flynn
